"OID20196","OID20101","OID20207","OID20162","OID20652","OID20715","OID20656","OID20668","OID20697","OID20610","OID20671","OID20666","OID20477","OID20675","OID20693","OID20762","OID20606","OID20574","OID20628","OID20591","OID20586","OID20719","OID20735","OID20611","OID20645","OID20631","OID20694","OID20696","OID20600","OID20655","OID20672","OID20473","OID20650","OID20661","OID20613","OID20624","OID20674","OID20523","OID20724","OID20712","OID20687","OID20621","OID20695","OID21042","OID21124","OID20976","OID20985","OID21030","OID21031","OID21018","OID20955","OID20995","OID20966","OID20953","OID21004","OID21414","OID21402","OID21466","OID21374","OID21375","OID21449","OID21411"
2.382483,5.700083,4.3044686,3.766395,6.5487194,3.060388,7.633302,6.3785367,7.1774864,3.538205,5.058302,5.4910483,2.404892,4.1021748,4.901961,3.403976,4.1260867,4.7134676,3.2424598,1.9017906,2.2169423,4.6781416,6.2631707,6.842507,5.5001283,6.5886965,5.3934855,3.1652043,2.673142,6.316449,9.783743,1.806917,7.3736224,4.0248084,5.893397,5.253009,5.5746384,4.707092,6.6961665,4.5805707,4.5686727,3.426964,4.3290386,5.052673,3.023247,4.4090796,3.1927931,3.4621227,3.0925202,5.9970016,4.4596534,5.0198765,4.4665804,3.492027,6.091053,4.2472744,5.0426536,8.405466,5.9025507,2.6800034,4.6855793,2.5957139
2.3793023,6.1386175,4.38008,4.2152743,6.7305617,3.285356,8.250263,6.6196065,7.520278,3.9330285,5.729633,5.7867527,2.9439423,4.505967,5.2110415,3.6194005,4.3778863,5.0355024,3.433061,2.0537064,2.2282183,4.8510923,6.604927,6.9000688,5.7146997,6.7930317,5.6153646,3.40446,2.9871674,6.525286,10.372384,2.186191,7.7683764,4.128427,6.156228,5.3983083,5.911274,5.165175,7.0932865,4.5935645,4.977603,3.6369345,4.756404,5.382411,3.2543783,4.779262,3.5350447,3.7751498,3.4541156,6.0819473,4.8461523,5.3896637,4.7785206,3.804447,6.276609,4.5986915,5.693551,8.512374,6.268404,3.076379,4.91409,3.2116637
2.42127,6.281232,4.385389,4.368279,6.82082,3.3833132,8.407252,6.675805,7.6173205,4.0619907,5.9053235,5.862472,3.0534449,4.6071305,5.3106213,3.6496916,4.439814,5.0820203,3.4874516,2.121665,2.2579703,4.9531546,6.706653,6.943198,5.7874427,6.891694,5.674999,3.5316038,3.119275,6.579169,10.493764,2.2790458,7.88238,4.170481,6.2035193,5.463619,6.0042076,5.188061,7.2172318,4.6016493,5.125609,3.7466033,4.805838,5.433846,3.3355942,4.910553,3.6757734,3.8228273,3.4262137,6.099354,4.9376006,5.5340962,4.866381,3.822635,6.3544664,4.6667204,5.8942866,8.580121,6.3342557,3.164154,5.0332685,3.4957733
2.3892033,6.1380277,4.3818526,4.2203665,6.733966,3.2877915,8.217386,6.615457,7.5231366,3.9259644,5.7119436,5.775212,2.9178002,4.5071545,5.1957836,3.6213424,4.3761516,5.048472,3.4258628,2.050792,2.223452,4.8519917,6.5992846,6.918427,5.718128,6.7832017,5.6341534,3.400087,2.9772422,6.5240574,10.346466,2.1865735,7.748321,4.127286,6.1588306,5.3864613,5.9101644,5.1386204,7.0710974,4.5923066,4.9767156,3.6374154,4.730412,5.367355,3.239201,4.78966,3.515351,3.7737224,3.4030802,6.08667,4.826506,5.3803835,4.765721,3.7990413,6.267808,4.600184,5.6990933,8.521143,6.2580123,3.078382,4.909918,3.207909
2.3218322,5.4937572,4.2438235,3.6271994,6.4720573,2.9888566,7.5021143,6.3154006,7.0552006,3.4343276,4.901831,5.4189515,2.2800174,3.977196,4.8296976,3.3444254,4.0528216,4.6272492,3.1955996,1.8645594,2.2037523,4.612923,6.1951776,6.8185863,5.43268,6.4970064,5.300874,3.1029549,2.582084,6.263711,9.58813,1.7100431,7.2564955,3.9938347,5.828235,5.2203693,5.4966025,4.532155,6.583442,4.578758,4.4603915,3.3589191,4.229405,4.947787,2.9641142,4.3160157,3.1158922,3.329467,2.9901848,5.9573956,4.3695273,4.9096313,4.3885045,3.411663,6.0176826,4.1539507,4.87197,8.345437,5.8059587,2.5561652,4.6325583,2.3986902
2.3640754,6.12206,4.3821144,4.142185,6.7213244,3.2343044,8.192523,6.5944,7.4750543,3.9193137,5.657307,5.72325,2.9410613,4.4594693,5.191677,3.6102598,4.361319,5.0680046,3.4155393,2.0340688,2.2056262,4.841029,6.5639677,6.890022,5.703928,6.766905,5.597231,3.3594587,2.9570847,6.475027,10.255217,2.1574237,7.7158737,4.1137414,6.1246924,5.3633294,5.8674536,5.0962715,7.042524,4.5901976,4.930229,3.6054347,4.706215,5.348793,3.2218041,4.709541,3.4689631,3.76703,3.4421299,6.075739,4.797806,5.3472652,4.7336817,3.7906792,6.269663,4.569192,5.611395,8.505296,6.2268634,3.0002398,4.870846,3.1122963
2.45447,6.469012,4.3803716,4.494909,6.9062443,3.4895427,8.529205,6.744724,7.677834,4.1644154,6.07617,5.925118,3.1707597,4.685704,5.4008102,3.6616237,4.502279,5.1757355,3.519011,2.1688929,2.2710762,5.060276,6.82193,6.9833727,5.8448143,6.995994,5.7714376,3.6303575,3.2383301,6.598787,10.620787,2.362394,7.994557,4.189523,6.2247605,5.504056,6.100278,5.269712,7.308439,4.6274934,5.284071,3.8341868,4.8322763,5.4745,3.3965378,5.002349,3.7927525,3.9698634,3.4580603,6.1738133,4.9797215,5.7055726,4.9414854,3.8483346,6.4493623,4.706253,6.1550784,8.634679,6.371539,3.2250078,5.10428,3.7534273
2.3984408,6.250218,4.383923,4.2961106,6.7921233,3.3422956,8.336288,6.650976,7.6029363,4.0143943,5.8376827,5.818456,3.0096357,4.5649467,5.276842,3.6364443,4.4150453,5.0757275,3.4685328,2.097427,2.241789,4.9174027,6.6664014,6.9285207,5.769542,6.8614883,5.657891,3.4796393,3.0699935,6.5371885,10.430963,2.2369087,7.8281527,4.146277,6.1781225,5.4353294,5.957322,5.188229,7.1584163,4.5992365,5.05958,3.7041073,4.7682714,5.4158382,3.303177,4.8543844,3.602324,3.7963748,3.415833,6.0955424,4.8881416,5.475266,4.8323364,3.8160942,6.32924,4.6350923,5.8037705,8.56805,6.304455,3.1188009,4.987389,3.3665092
2.280333,4.8526673,4.08032,3.1768146,6.236667,2.8006656,6.983434,6.1343813,6.7184663,3.060085,4.31323,5.201044,1.851701,3.560285,4.5183954,3.2095215,3.8239033,4.3135443,3.0488522,1.7120444,2.1978474,4.3832884,5.9105926,6.7893095,5.224965,6.2233377,5.008489,2.8652613,2.2392228,6.0118003,8.921503,1.3637725,6.8556414,3.8666308,5.6322756,5.109572,5.2135625,3.988966,6.2039013,4.567481,4.090426,3.1217854,3.848086,4.682205,2.7221842,3.998291,2.799501,2.9159684,2.6506503,5.8784513,4.0121083,4.50209,4.12079,3.147827,5.7851467,3.834251,4.1918597,8.21505,5.4546475,2.151532,4.4158835,1.6634012
2.4921927,6.576421,4.380757,4.602613,6.9694014,3.559508,8.622738,6.7852182,7.7347226,4.230503,6.194095,5.975301,3.2317536,4.7459435,5.460526,3.6755319,4.53834,5.222977,3.543665,2.2100987,2.28539,5.1374946,6.9074955,7.0172734,5.892294,7.0685773,5.82814,3.712411,3.3230855,6.6331916,10.706046,2.4231029,8.066177,4.2150707,6.248534,5.5378356,6.1673236,5.2913413,7.379709,4.6571274,5.39628,3.9061418,4.8545585,5.4957614,3.4465206,5.0976167,3.8821976,4.062492,3.4360023,6.2258773,5.022351,5.808169,4.9920163,3.863426,6.4945507,4.749156,6.322719,8.673148,6.4061813,3.2801757,5.1796265,3.9712565
